Gene,ensembl_ids
C11orf1,ENSG00000137720
DIXDC1,ENSG00000150764
DLAT,ENSG00000150768
NKAPD1,
TIMM8B,ENSG00000150779
SDHD,ENSG00000255292
IL18,ENSG00000150782
TEX12,ENSG00000150783
BCO2,ENSG00000197580
PTS,ENSG00000150787
AP002884.4,
AP002884.1,ENSG00000243250
NCAM1,ENSG00000149294
AP000880.1,ENSG00000255129
TTC12,ENSG00000149292
ANKK1,ENSG00000170209
TMPRSS5,ENSG00000166682
ZW10,ENSG00000086827
USP28,ENSG00000048028
HTR3A,ENSG00000166736
ZBTB16,ENSG00000109906
C11orf71,ENSG00000180425
RBM7,ENSG00000076053
REXO2,ENSG00000076043
CADM1,ENSG00000182985
LINC00900,ENSG00000246100
BUD13,ENSG00000137656
ZPR1,ENSG00000109917
APOA1,ENSG00000118137
SIK3,ENSG00000160584
PAFAH1B2,ENSG00000168092
SIDT2,ENSG00000149577
TAGLN,ENSG00000149591
PCSK7,ENSG00000160613
RNF214,ENSG00000167257
BACE1,ENSG00000186318
BACE1-AS,ENSG00000278768
CEP164,ENSG00000110274
FXYD2,ENSG00000137731
AP000757.1,ENSG00000254528
FXYD6,ENSG00000137726
TMPRSS13,ENSG00000137747
IL10RA,ENSG00000110324
SMIM35,
JAML,ENSG00000160593
MPZL3,ENSG00000160588
MPZL2,ENSG00000149573
CD3E,ENSG00000198851
CD3D,ENSG00000167286
CD3G,ENSG00000160654
UBE4A,ENSG00000110344
AP001267.1,ENSG00000254873
ATP5MG,
AP001267.2,ENSG00000255384
KMT2A,ENSG00000118058
AP001267.3,ENSG00000255435
TMEM25,ENSG00000149582
IFT46,ENSG00000118096
ARCN1,ENSG00000095139
PHLDB1,ENSG00000019144
AP002954.1,ENSG00000255422
DDX6,ENSG00000110367
AP004609.3,ENSG00000278376
CXCR5,ENSG00000160683
BCL9L,ENSG00000186174
UPK2,ENSG00000110375
AP003392.4,ENSG00000255121
CCDC84,ENSG00000186166
AP003392.1,ENSG00000254428
RPS25,ENSG00000118181
TRAPPC4,ENSG00000196655
SLC37A4,ENSG00000137700
HYOU1,ENSG00000149428
AP003392.5,ENSG00000271751
AP003392.6,ENSG00000272186
VPS11,ENSG00000160695
HMBS,ENSG00000256269
H2AFX,ENSG00000188486
DPAGT1,ENSG00000172269
C2CD2L,ENSG00000172375
HINFP,ENSG00000172273
NLRX1,ENSG00000160703
PDZD3,ENSG00000172367
CCDC153,ENSG00000248712
CBL,ENSG00000110395
MCAM,ENSG00000076706
RNF26,ENSG00000173456
NECTIN1,ENSG00000110400
OAF,ENSG00000184232
TMEM136,ENSG00000181264
ARHGEF12,ENSG00000196914
GRIK4,ENSG00000149403
TBCEL,ENSG00000154114
TECTA,ENSG00000109927
SC5D,ENSG00000109929
AP000977.1,ENSG00000246790
SORL1,ENSG00000137642
UBASH3B,ENSG00000154127
CRTAM,ENSG00000109943
JHY,
HSPA8,ENSG00000109971
CLMP,ENSG00000166250
GRAMD1B,ENSG00000023171
ZNF202,ENSG00000166261
VWA5A,ENSG00000110002
TBRG1,ENSG00000154144
SIAE,ENSG00000110013
SPA17,ENSG00000064199
NRGN,ENSG00000154146
AP000866.5,ENSG00000255045
VSIG2,ENSG00000019102
ESAM,ENSG00000149564
AP000866.2,ENSG00000250073
MSANTD2,ENSG00000120458
AP000866.1,ENSG00000245498
ROBO3,ENSG00000154134
ROBO4,ENSG00000154133
CCDC15,ENSG00000149548
SLC37A2,ENSG00000134955
TMEM218,ENSG00000150433
FEZ1,ENSG00000149557
EI24,ENSG00000149547
STT3A,ENSG00000134910
CHEK1,ENSG00000149554
HYLS1,ENSG00000198331
PUS3,ENSG00000110060
CDON,ENSG00000064309
RPUSD4,ENSG00000165526
FAM118B,ENSG00000197798
SRPRA,ENSG00000182934
FOXRED1,ENSG00000110074
TIRAP,ENSG00000150455
AP001318.2,ENSG00000254905
DCPS,ENSG00000110063
GSEC,ENSG00000280832
ST3GAL4,ENSG00000110080
ETS1,ENSG00000134954
FLI1,ENSG00000151702
SENCR,ENSG00000254703
C11orf45,ENSG00000174370
ARHGAP32,ENSG00000134909
TMEM45B,ENSG00000151715
NFRKB,ENSG00000170322
PRDM10,ENSG00000170325
LINC00167,ENSG00000233220
APLP2,ENSG00000084234
ST14,ENSG00000149418
ZBTB44,ENSG00000196323
LINC02551,ENSG00000254842
AP003486.1,ENSG00000255455
SNX19,ENSG00000120451
AP000911.1,ENSG00000204241
JAM3,ENSG00000166086
NCAPD3,ENSG00000151503
VPS26B,ENSG00000151502
THYN1,ENSG00000151500
ACAD8,ENSG00000151498
GLB1L3,ENSG00000166105
GLB1L2,ENSG00000149328
B3GAT1,ENSG00000109956
ZMYND11,ENSG00000015171
DIP2C,ENSG00000151240
LARP4B,ENSG00000107929
GTPBP4,ENSG00000107937
IDI2-AS1,ENSG00000232656
IDI1,ENSG00000067064
WDR37,ENSG00000047056
PFKP,ENSG00000067057
PITRM1,ENSG00000107959
PITRM1-AS1,ENSG00000237399
KLF6,ENSG00000067082
AKR1C1,ENSG00000187134
AKR1C2,ENSG00000151632
AKR1C3,ENSG00000196139
NET1,ENSG00000173848
ASB13,ENSG00000196372
FAM208B,ENSG00000108021
AL365356.1,ENSG00000226647
GDI2,ENSG00000057608
AL596094.1,ENSG00000272764
ANKRD16,ENSG00000134461
FBH1,
AL137186.2,ENSG00000232807
IL15RA,ENSG00000134470
IL2RA,ENSG00000134460
RBM17,ENSG00000134453
PFKFB3,ENSG00000170525
AL137145.2,ENSG00000215244
AL137145.1,ENSG00000212743
PRKCQ,ENSG00000065675
SFMBT2,ENSG00000198879
KIN,ENSG00000151657
ATP5F1C,
TAF3,ENSG00000165632
GATA3,ENSG00000107485
GATA3-AS1,ENSG00000197308
CELF2,ENSG00000048740
CELF2-AS1,ENSG00000181800
USP6NL,ENSG00000148429
AL512631.1,ENSG00000271046
ECHDC3,ENSG00000134463
PROSER2,ENSG00000148426
UPF2,ENSG00000151461
DHTKD1,ENSG00000181192
SEC61A2,ENSG00000065665
NUDT5,ENSG00000165609
CDC123,ENSG00000151465
AL512770.1,ENSG00000228302
CAMK1D,ENSG00000183049
OPTN,ENSG00000123240
MCM10,ENSG00000065328
PHYH,ENSG00000107537
SEPHS1,ENSG00000086475
PRPF18,ENSG00000165630
AL157392.5,ENSG00000282246
FRMD4A,ENSG00000151474
AL157392.4,ENSG00000273474
FAM107B,ENSG00000065809
CDNF,ENSG00000185267
HSPA14,ENSG00000187522
HSPA14.1,
AC069544.1,ENSG00000272853
SUV39H2,ENSG00000152455
DCLRE1C,ENSG00000152457
MEIG1,ENSG00000197889
RPP38,ENSG00000152464
NMT2,ENSG00000152465
FAM171A1,ENSG00000148468
MINDY3,ENSG00000148481
PTER,ENSG00000165983
RSU1,ENSG00000148484
CUBN,ENSG00000107611
AC067747.1,ENSG00000273153
TRDMT1,ENSG00000107614
VIM-AS1,ENSG00000229124
VIM,ENSG00000026025
ST8SIA6,ENSG00000148488
HACD1,ENSG00000165996
STAM-AS1,ENSG00000260589
STAM,ENSG00000136738
TMEM236,ENSG00000148483
MRC1,ENSG00000260314
CACNB2,ENSG00000165995
AL450384.2,ENSG00000240291
NSUN6,ENSG00000241058
ARL5B,ENSG00000165997
PLXDC2,ENSG00000120594
SKIDA1,ENSG00000180592
MLLT10,ENSG00000078403
DNAJC1,ENSG00000136770
COMMD3,ENSG00000148444
BMI1,ENSG00000168283
AL158211.3,ENSG00000272366
PIP4K2A,ENSG00000150867
MSRB2,ENSG00000148450
OTUD1,ENSG00000165312
ARHGAP21,ENSG00000107863
PRTFDC1,ENSG00000099256
AL512598.1,ENSG00000273107
ENKUR,ENSG00000151023
THNSL1,ENSG00000185875
APBB1IP,ENSG00000077420
PDSS1,ENSG00000148459
ABI1,ENSG00000136754
ANKRD26,ENSG00000107890
YME1L1,ENSG00000136758
MASTL,ENSG00000120539
ACBD5,ENSG00000107897
RAB18,ENSG00000099246
MPP7,ENSG00000150054
AC022021.1,ENSG00000282996
WAC-AS1,ENSG00000254635
WAC,ENSG00000095787
BAMBI,ENSG00000095739
SVIL,ENSG00000197321
MTPAP,ENSG00000107951
MAP3K8,ENSG00000107968
ZNF438,ENSG00000183621
ZEB1-AS1,ENSG00000237036
ZEB1,ENSG00000148516
AL161935.3,ENSG00000237797
ARHGAP12,ENSG00000165322
KIF5B,ENSG00000170759
EPC1,ENSG00000120616
CCDC7,ENSG00000216937
AL365203.2,ENSG00000229878
ITGB1,ENSG00000150093
AL121748.1,ENSG00000233387
NRP1,ENSG00000099250
PARD3,ENSG00000148498
CUL2,ENSG00000108094
AL392046.1,ENSG00000230534
CREM,ENSG00000095794
CCNY,ENSG00000108100
AL117336.3,ENSG00000271335
FZD8,ENSG00000177283
ZNF248,ENSG00000198105
AL135791.1,ENSG00000236514
ZNF25,ENSG00000175395
ZNF33A,ENSG00000189180
ZNF37A,ENSG00000075407
AL117339.5,ENSG00000283930
AL117339.4,ENSG00000272983
ZNF33B,ENSG00000196693
BMS1,ENSG00000165733
RET,ENSG00000165731
AC010864.1,ENSG00000273008
CSGALNACT2,ENSG00000169826
RASGEF1A,ENSG00000198915
HNRNPF,ENSG00000169813
AL450326.1,ENSG00000230555
ZNF487,ENSG00000243660
ZNF239,ENSG00000196793
ZNF485,ENSG00000198298
ZNF32,ENSG00000169740
RASSF4,ENSG00000107551
C10orf25,ENSG00000165511
ZNF22,ENSG00000165512
ALOX5,ENSG00000012779
MARCH8,ENSG00000165406
ZFAND4,ENSG00000172671
WASHC2C,ENSG00000172661
AGAP4,ENSG00000188234
TIMM23,ENSG00000265354
NCOA4,ENSG00000266412
SYT15,ENSG00000204176
AL356056.2,ENSG00000231187
PTPN20,ENSG00000204179
GDF10,ENSG00000266524
ANXA8,ENSG00000265190
AGAP9,ENSG00000204172
MAPK8,ENSG00000107643
ARHGAP22,ENSG00000128805
WDFY4,ENSG00000128815
VSTM4,ENSG00000165633
TMEM273,
ERCC6,ENSG00000225830
PARG,ENSG00000227345
TIMM23B,ENSG00000204152
LINC00843,ENSG00000178440
AGAP6,ENSG00000204149
WASHC2A,ENSG00000099290
ASAH2,ENSG00000188611
SGMS1,ENSG00000198964
SGMS1-AS1,ENSG00000226200
ASAH2B,ENSG00000204147
CSTF2T,ENSG00000177613
AC074327.1,ENSG00000228651
ZWINT,ENSG00000122952
IPMK,ENSG00000151151
CISD1,ENSG00000122873
UBE2D1,ENSG00000072401
TFAM,ENSG00000108064
BICC1,ENSG00000122870
CCDC6,ENSG00000108091
ANK3,ENSG00000151150
CDK1,ENSG00000170312
RHOBTB1,ENSG00000072422
ARID5B,ENSG00000150347
RTKN2,ENSG00000182010
ZNF365,ENSG00000138311
ADO,ENSG00000181915
EGR2,ENSG00000122877
NRBF2,ENSG00000148572
JMJD1C,ENSG00000171988
REEP3,ENSG00000165476
DNAJC12,ENSG00000108176
AL133551.1,ENSG00000272892
SIRT1,ENSG00000096717
HERC4,ENSG00000148634
PBLD,ENSG00000108187
HNRNPH3,ENSG00000096746
RUFY2,ENSG00000204130
DNA2,ENSG00000138346
SLC25A16,ENSG00000122912
TET1,ENSG00000138336
CCAR1,ENSG00000060339
STOX1,ENSG00000165730
DDX50,ENSG00000107625
DDX21,ENSG00000165732
KIF1BP,ENSG00000198954
SRGN,ENSG00000122862
VPS26A,ENSG00000122958
SUPV3L1,ENSG00000156502
HKDC1,ENSG00000156510
HK1,ENSG00000156515
TSPAN15,ENSG00000099282
FAM241B,
COL13A1,ENSG00000197467
H2AFY2,ENSG00000099284
AIFM2,ENSG00000042286
TYSND1,ENSG00000156521
SAR1A,ENSG00000079332
PPA1,ENSG00000180817
LRRC20,ENSG00000172731
EIF4EBP2,ENSG00000148730
PALD1,ENSG00000107719
PRF1,ENSG00000180644
SGPL1,ENSG00000166224
PCBD1,ENSG00000166228
SLC29A3,ENSG00000198246
CDH23,ENSG00000107736
C10orf105,ENSG00000214688
VSIR,ENSG00000107738
PSAP,ENSG00000197746
SPOCK2,ENSG00000107742
ASCC1,ENSG00000138303
ANAPC16,ENSG00000166295
DDIT4,ENSG00000168209
DDIT4-AS1,ENSG00000269926
DNAJB12,ENSG00000148719
MICU1,ENSG00000107745
MCU,ENSG00000156026
P4HA1,ENSG00000122884
AL731563.3,ENSG00000272630
NUDT13,ENSG00000166321
AC016394.2,
ECD,ENSG00000122882
FAM149B1,ENSG00000138286
DNAJC9,ENSG00000213551
DNAJC9-AS1,ENSG00000227540
MRPS16,ENSG00000182180
AC016394.1,ENSG00000272599
CFAP70,ENSG00000156042
ANXA7,ENSG00000138279
MSS51,ENSG00000166343
PPP3CB,ENSG00000107758
USP54,ENSG00000166348
AC073389.1,ENSG00000268584
AGAP5,ENSG00000172650
AC022400.6,ENSG00000272916
SEC24C,ENSG00000176986
FUT11,ENSG00000196968
CHCHD1,ENSG00000172586
ZSWIM8,ENSG00000214655
NDST2,ENSG00000166507
CAMK2G,ENSG00000148660
VCL,ENSG00000035403
AP3M1,ENSG00000185009
ADK,ENSG00000156110
KAT6B,ENSG00000156650
SAMD8,ENSG00000156671
VDAC2,ENSG00000165637
COMTD1,ENSG00000165644
ZNF503,ENSG00000165655
ZNF503-AS2,ENSG00000237149
AC010997.5,ENSG00000273248
LRMDA,ENSG00000148655
KCNMA1,ENSG00000156113
AL450306.1,ENSG00000228748
DLG5,ENSG00000151208
POLR3A,ENSG00000148606
RPS24,ENSG00000138326
ZMIZ1,ENSG00000108175
PPIF,ENSG00000108179
ZCCHC24,ENSG00000165424
EIF5AL1,ENSG00000253626
AL132656.2,ENSG00000244733
NUTM2B-AS1,ENSG00000225484
AL135925.1,ENSG00000272447
SFTPD,ENSG00000133661
TMEM254-AS1,ENSG00000230091
TMEM254,ENSG00000133678
ANXA11,ENSG00000122359
FAM213A,ENSG00000122378
TSPAN14,ENSG00000108219
AC021028.1,ENSG00000226659
AL603756.1,ENSG00000271933
GHITM,ENSG00000165678
CDHR1,ENSG00000148600
CCSER2,ENSG00000107771
WAPL,ENSG00000062650
AL731569.1,ENSG00000227896
BMPR1A,ENSG00000107779
SNCG,ENSG00000173267
GLUD1,ENSG00000148672
SHLD2,
NUTM2A-AS1,ENSG00000223482
MINPP1,ENSG00000107789
PAPSS2,ENSG00000198682
ATAD1,ENSG00000138138
KLLN,ENSG00000227268
PTEN,ENSG00000171862
RNLS,ENSG00000184719
LIPN,ENSG00000204020
ANKRD22,ENSG00000152766
STAMBPL1,ENSG00000138134
ACTA2,ENSG00000107796
FAS,ENSG00000026103
LIPA,ENSG00000107798
IFIT2,ENSG00000119922
IFIT3,ENSG00000119917
IFIT1,ENSG00000185745
IFIT5,ENSG00000152778
PANK1,ENSG00000152782
KIF20B,ENSG00000138182
LINC00865,ENSG00000232229
HTR7,ENSG00000148680
RPP30,ENSG00000148688
PCGF5,ENSG00000180628
HECTD2,ENSG00000165338
TNKS2-AS1,ENSG00000228701
TNKS2,ENSG00000107854
FGFBP3,ENSG00000174721
AL359198.1,ENSG00000272817
BTAF1,ENSG00000095564
CPEB3,ENSG00000107864
MARCH5,ENSG00000198060
IDE,ENSG00000119912
KIF11,ENSG00000138160
HHEX,ENSG00000152804
EXOC6,ENSG00000138190
MYOF,ENSG00000138119
CEP55,ENSG00000138180
FFAR4,ENSG00000186188
FRA10AC1,ENSG00000148690
SLC35G1,ENSG00000176273
PLCE1,ENSG00000138193
NOC3L,ENSG00000173145
TBC1D12,ENSG00000108239
HELLS,ENSG00000119969
PDLIM1,ENSG00000107438
ALDH18A1,ENSG00000059573
TCTN3,ENSG00000119977
ENTPD1,ENSG00000138185
ENTPD1-AS1,ENSG00000226688
CC2D2B,ENSG00000188649
CCNJ,ENSG00000107443
ZNF518A,ENSG00000177853
BLNK,ENSG00000095585
DNTT,ENSG00000107447
TM9SF3,ENSG00000077147
PIK3AP1,ENSG00000155629
LCOR,ENSG00000196233
ARHGAP19,ENSG00000213390
FRAT1,ENSG00000165879
FRAT2,ENSG00000181274
RRP12,ENSG00000052749
PGAM1,ENSG00000171314
EXOSC1,ENSG00000171311
ZDHHC16,ENSG00000171307
MMS19,ENSG00000155229
UBTD1,ENSG00000165886
MORN4,ENSG00000171160
PI4K2A,ENSG00000155252
AVPI1,ENSG00000119986
MARVELD1,ENSG00000155254
ZFYVE27,ENSG00000155256
SFRP5,ENSG00000120057
GOLGA7B,ENSG00000155265
R3HCC1L,ENSG00000166024
PYROXD2,ENSG00000119943
HPS1,ENSG00000107521
GOT1,ENSG00000120053
AL391684.1,ENSG00000224934
SLC25A28,ENSG00000155287
AL353719.1,ENSG00000260475
ENTPD7,ENSG00000198018
CUTC,ENSG00000119929
COX15,ENSG00000014919
ABCC2,ENSG00000023839
DNMBP,ENSG00000107554
ERLIN1,ENSG00000107566
CHUK,ENSG00000213341
CWF19L1,ENSG00000095485
BLOC1S2,ENSG00000196072
PKD2L1,ENSG00000107593
SCD,ENSG00000099194
OLMALINC,ENSG00000235823
SEC31B,ENSG00000075826
NDUFB8,ENSG00000166136
HIF1AN,ENSG00000166135
AL138762.1,ENSG00000272572
SLF2,ENSG00000119906
MRPL43,ENSG00000055950
TWNK,ENSG00000107815
LZTS2,ENSG00000107816
PDZD7,ENSG00000186862
SFXN3,ENSG00000107819
AL133215.2,ENSG00000273162
KAZALD1,ENSG00000107821
BTRC,ENSG00000166167
DPCD,ENSG00000166171
POLL,ENSG00000166169
FBXW4,ENSG00000107829
NPM3,ENSG00000107833
OGA,
KCNIP2,ENSG00000120049
ARMH3,
HPS6,ENSG00000166189
LDB1,ENSG00000198728
PPRC1,ENSG00000148840
NOLC1,ENSG00000166197
ELOVL3,ENSG00000119915
GBF1,ENSG00000107862
NFKB2,ENSG00000077150
PSD,ENSG00000059915
FBXL15,ENSG00000107872
CUEDC2,ENSG00000107874
C10orf95,ENSG00000120055
MFSD13A,ENSG00000138111
ACTR1A,ENSG00000138107
AL121928.1,ENSG00000273262
SUFU,ENSG00000107882
TRIM8,ENSG00000171206
AL391121.1,ENSG00000272933
ARL3,ENSG00000138175
SFXN2,ENSG00000156398
WBP1L,ENSG00000166272
BORCS7,ENSG00000166275
CNNM2,ENSG00000148842
NT5C2,ENSG00000076685
PCGF6,ENSG00000156374
TAF5,ENSG00000148835
ATP5MD,
PDCD11,ENSG00000148843
CALHM2,ENSG00000138172
AL139339.1,ENSG00000234699
NEURL1,ENSG00000107954
SH3PXD2A,ENSG00000107957
AL121929.2,ENSG00000273108
STN1,ENSG00000107960
SLK,ENSG00000065613
SFR1,ENSG00000156384
GSTO1,ENSG00000148834
GSTO2,ENSG00000065621
ITPRIP,ENSG00000148841
SORCS3,ENSG00000156395
XPNPEP1,ENSG00000108039
ADD3,ENSG00000148700
MXI1,ENSG00000119950
SMNDC1,ENSG00000119953
AL355512.1,ENSG00000273143
DUSP5,ENSG00000138166
SMC3,ENSG00000108055
RBM20,ENSG00000203867
PDCD4-AS1,ENSG00000203497
PDCD4,ENSG00000150593
BBIP1,ENSG00000214413
AL158163.2,ENSG00000278601
AL158163.1,ENSG00000270589
SHOC2,ENSG00000108061
ADRA2A,ENSG00000150594
GPAM,ENSG00000119927
ACSL5,ENSG00000197142
AL157786.1,ENSG00000232934
ZDHHC6,ENSG00000023041
VTI1A,ENSG00000151532
TCF7L2,ENSG00000148737
AL158212.2,ENSG00000233547
CASP7,ENSG00000165806
DCLRE1A,ENSG00000198924
NHLRC2,ENSG00000196865
ADRB1,ENSG00000043591
CCDC186,ENSG00000165813
TDRD1,ENSG00000095627
AFAP1L2,ENSG00000169129
ABLIM1,ENSG00000099204
FAM160B1,ENSG00000151553
TRUB1,ENSG00000165832
HSPA12A,ENSG00000165868
ENO4,ENSG00000188316
SHTN1,ENSG00000187164
AL731557.1,ENSG00000225936
SLC18A2,ENSG00000165646
AL391988.1,ENSG00000277879
PDZD8,ENSG00000165650
RAB11FIP2,ENSG00000107560
FAM204A,ENSG00000165669
CACUL1,ENSG00000151893
NANOS1,ENSG00000188613
EIF3A,ENSG00000107581
FAM45A,ENSG00000119979
SFXN4,ENSG00000183605
PRDX3,ENSG00000165672
GRK5,ENSG00000198873
RGS10,ENSG00000148908
TIAL1,ENSG00000151923
BAG3,ENSG00000151929
INPP5F,ENSG00000198825
MCMBP,ENSG00000197771
SEC23IP,ENSG00000107651
WDR11-AS1,ENSG00000227165
WDR11,ENSG00000120008
AC010998.2,ENSG00000271670
FGFR2,ENSG00000066468
ATE1,ENSG00000107669
NSMCE4A,ENSG00000107672
AL731566.1,ENSG00000273891
PLEKHA1,ENSG00000107679
HTRA1,ENSG00000166033
CUZD1,ENSG00000138161
FAM24B,ENSG00000213185
C10orf88,ENSG00000119965
PSTK,ENSG00000179988
IKZF5,ENSG00000095574
ACADSB,ENSG00000196177
BUB3,ENSG00000154473
CHST15,ENSG00000182022
OAT,ENSG00000065154
LHPP,ENSG00000107902
AC068896.1,ENSG00000258539
FAM53B,ENSG00000189319
AL513190.1,ENSG00000278831
EEF1AKMT2,ENSG00000203791
ABRAXAS2,ENSG00000165660
ZRANB1,ENSG00000019995
AL731577.1,ENSG00000226899
CTBP2,ENSG00000175029
AL731571.1,ENSG00000273599
AL158835.1,ENSG00000228021
EDRF1,ENSG00000107938
UROS,ENSG00000188690
BCCIP,ENSG00000107949
DHX32,ENSG00000089876
FANK1,ENSG00000203780
ADAM12,ENSG00000148848
DOCK1,ENSG00000150760
PTPRE,ENSG00000132334
MKI67,ENSG00000148773
MGMT,ENSG00000170430
AL157832.1,ENSG00000227374
C10orf143,
GLRX3,ENSG00000108010
PPP2R2D,ENSG00000175470
BNIP3,ENSG00000176171
AL162274.2,ENSG00000277959
AL162274.1,ENSG00000273521
DPYSL4,ENSG00000151640
STK32C,ENSG00000165752
LRRC27,ENSG00000148814
PWWP2B,ENSG00000171813
AL451069.2,ENSG00000231705
C10orf91,ENSG00000180066
INPP5A,ENSG00000068383
KNDC1,ENSG00000171798
UTF1,ENSG00000171794
VENTX,ENSG00000151650
ADAM8,ENSG00000151651
TUBGCP2,ENSG00000130640
AL360181.2,ENSG00000235245
ZNF511,ENSG00000198546
CALY,ENSG00000130643
FUOM,ENSG00000148803
ECHS1,ENSG00000127884
PAOX,ENSG00000148832
MTG1,ENSG00000148824
SCART1,ENSG00000214279
CYP2E1,ENSG00000130649
SYCE1,ENSG00000171772
IQSEC3,ENSG00000120645
AC026369.3,ENSG00000256948
SLC6A12,ENSG00000111181
KDM5A,ENSG00000073614
CCDC77,ENSG00000120647
B4GALNT3,ENSG00000139044
NINJ2,ENSG00000171840
AC021054.1,ENSG00000177406
WNK1,ENSG00000060237
RAD52,ENSG00000002016
AC004803.1,ENSG00000250132
ERC1,ENSG00000082805
WNT5B,ENSG00000111186
FBXL14,ENSG00000171823
ADIPOR2,ENSG00000006831
CACNA2D4,ENSG00000151062
DCP1B,ENSG00000151065
CACNA1C,ENSG00000151067
CACNA1C-AS2,ENSG00000256271
CACNA1C-AS1,ENSG00000246627
FKBP4,ENSG00000004478
ITFG2-AS1,ENSG00000258325
ITFG2,ENSG00000111203
NRIP2,ENSG00000053702
FOXM1,ENSG00000111206
RHNO1,ENSG00000171792
TULP3,ENSG00000078246
TSPAN9,ENSG00000011105
CRACR2A,ENSG00000130038
PARP11,ENSG00000111224
AC005842.1,ENSG00000256862
CCND2,ENSG00000118971
TIGAR,ENSG00000078237
FGF23,ENSG00000118972
C12orf4,ENSG00000047621
RAD51AP1,ENSG00000111247
DYRK4,ENSG00000010219
AKAP3,ENSG00000111254
NDUFA9,ENSG00000139180
VWF,ENSG00000110799
CD9,ENSG00000010278
TNFRSF1A,ENSG00000067182
SCNN1A,ENSG00000111319
LTBR,ENSG00000111321
AC005840.2,ENSG00000224906
CD27,ENSG00000139193
TAPBPL,ENSG00000139192
VAMP1,ENSG00000139190
AC005840.4,ENSG00000256913
MRPL51,ENSG00000111639
NCAPD2,ENSG00000010292
GAPDH,ENSG00000111640
AC006064.4,ENSG00000269968
IFFO1,ENSG00000010295
NOP2,ENSG00000111641
CHD4,ENSG00000111642
AC006064.2,ENSG00000247853
LPAR5,ENSG00000184574
ACRBP,ENSG00000111644
ING4,ENSG00000111653
ZNF384,ENSG00000126746
COPS7A,ENSG00000111652
AC125494.2,ENSG00000269892
MLF2,ENSG00000089693
PTMS,ENSG00000159335
LAG3,ENSG00000089692
CD4,ENSG00000010610
GPR162,ENSG00000250510
P3H3,ENSG00000110811
GNB3,ENSG00000111664
CDCA3,ENSG00000111665
USP5,ENSG00000111667
TPI1,ENSG00000111669
SPSB2,ENSG00000111671
LRRC23,ENSG00000010626
ENO2,ENSG00000111674
ATN1,ENSG00000111676
C12orf57,ENSG00000111678
U47924.2,ENSG00000272173
PTPN6,ENSG00000111679
PHB2,ENSG00000215021
EMG1,ENSG00000268439
EMG1.1,
LPCAT3,ENSG00000111684
C1S,ENSG00000182326
C1R,ENSG00000159403
C1RL,ENSG00000139178
C1RL-AS1,ENSG00000205885
AC018653.3,ENSG00000256967
CLSTN3,ENSG00000139182
PEX5,ENSG00000139197
CD163,ENSG00000177575
CLEC4C,ENSG00000198178
SLC2A3,ENSG00000059804
FOXJ2,ENSG00000065970
C3AR1,ENSG00000171860
NECAP1,ENSG00000089818
CLEC4A,ENSG00000111729
FAM66C,ENSG00000226711
LINC00937,ENSG00000226091
CLEC6A,ENSG00000205846
CLEC4D,ENSG00000166527
CLEC4E,ENSG00000166523
AICDA,ENSG00000111732
RIMKLB,ENSG00000166532
AC092490.1,ENSG00000249790
PHC1,ENSG00000111752
M6PR,ENSG00000003056
KLRG1,ENSG00000139187
A2M-AS1,ENSG00000245105
A2M,ENSG00000175899
LINC00987,ENSG00000237248
AC010175.1,ENSG00000256427
KLRB1,ENSG00000111796
CLEC2D,ENSG00000069493
CLECL1,ENSG00000184293
CD69,ENSG00000110848
KLRF1,ENSG00000150045
CLEC2B,ENSG00000110852
AC091814.1,ENSG00000255882
CLEC12A,ENSG00000172322
CLEC1B,ENSG00000165682
CLEC12B,ENSG00000256660
CLEC9A,ENSG00000197992
CLEC1A,ENSG00000150048
CLEC7A,ENSG00000172243
OLR1,ENSG00000173391
GABARAPL1,ENSG00000139112
KLRD1,ENSG00000134539
AC022075.1,ENSG00000245648
KLRK1,ENSG00000213809
KLRC4-KLRK1,ENSG00000255819
KLRC4,ENSG00000183542
KLRC3,ENSG00000205810
KLRC2,ENSG00000205809
KLRC1,ENSG00000134545
EIF2S3B,
LINC02446,ENSG00000256039
MAGOHB,ENSG00000111196
STYK1,ENSG00000060140
YBX3,ENSG00000060138
PRH1,ENSG00000231887
TAS2R10,ENSG00000121318
PRR4,ENSG00000111215
TAS2R14,ENSG00000212127
TAS2R31,ENSG00000256436
TAS2R30,ENSG00000256188
SMIM10L1,ENSG00000256537
LINC01252,ENSG00000247157
ETV6,ENSG00000139083
BCL2L14,ENSG00000121380
LRP6,ENSG00000070018
MANSC1,ENSG00000111261
LOH12CR2,ENSG00000205791
BORCS5,ENSG00000165714
DUSP16,ENSG00000111266
CREBL2,ENSG00000111269
AC008115.4,ENSG00000275963
GPR19,ENSG00000183150
CDKN1B,ENSG00000111276
APOLD1,ENSG00000178878
DDX47,ENSG00000213782
GPRC5D-AS1,ENSG00000247498
HEBP1,ENSG00000013583
FAM234B,ENSG00000084444
EMP1,ENSG00000134531
ATF7IP,ENSG00000171681
PLBD1,ENSG00000121316
PLBD1-AS1,ENSG00000256751
GUCY2C,ENSG00000070019
HIST4H4,ENSG00000197837
H2AFJ,ENSG00000246705
WBP11,ENSG00000084463
C12orf60,ENSG00000182993
MGP,ENSG00000111341
ERP27,ENSG00000139055
ARHGDIB,ENSG00000111348
PDE6H,ENSG00000139053
PTPRO,ENSG00000151490
EPS8,ENSG00000151491
